IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_DANVILLE,THICK_DANVILLE,TOP_HERRIN,THICK_HERRIN,TOP_SPRING,THICK_SPRING,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY
02300001000C,CLARK,-87.631845,39.426766,581,Oil and Gas Test,Electric Log,266,3.5,,,85,3.5,,,,
02300002000C,CLARK,-87.603799,39.238093,451,Oil and Gas Test,Electric Log,137,4,63,,23,2,-141,,-191,6
02300003000C,CLARK,-87.618229,39.19995,441,Oil and Gas Test,Electric Log,133,,,,39,,-125,,-179,
02300062000C,CLARK,-87.988525,39.189809,595,Oil and Gas Test,Electric Log,213,3,171,3.5,134,,-1,,-29,5
02300065000C,CLARK,-87.987312,39.187107,594,Oil and Gas Test,Electric Log,217,2,173,3,132,2.5,-2,,-31,4
02300072000C,CLARK,-87.612305,39.33821,537,Oil and Gas Test,Electric Log,167,3,48,,22,4,-139,,-168,6
02300073000C,CLARK,-87.676413,39.322777,579,Oil and Gas Test,Electric Log,172,4.5,69,,39,4,,,,
02300076000C,CLARK,-87.6405,39.297221,460,Coal Test,Survey Core Study,147,2.2,52,2.5,15,3.5,,,,
02300087000C,CLARK,-87.88573,39.29806,590,Oil and Gas Test,Electric Log,,,355,2.5,340,3.5,270,,225,3
02300194000C,CLARK,-87.68309,39.376295,610,Coal Test,Survey Core Study,207,1.2,82,1.2,60,3.8,,,-111,3.1
02300238000C,CLARK,-87.989348,39.418183,678,Oil and Gas Test,Electric Log,,,552,3,534,3.5,462,,,
02300328000C,CLARK,-87.543692,39.432459,550,Coal Test,Survey Core Study,352,5.3,,,,,,,,
02300329000C,CLARK,-87.564343,39.425684,559,Coal Test,Survey Core Study,338,3.8,,,,,,,,
02300518000C,CLARK,-87.941667,39.215135,594,Oil and Gas Test,Electric Log,319,1.5,279,,242,,128,,101,3
02300522000C,CLARK,-87.99995,39.182223,585,Oil and Gas Test,Electric Log,207,2.5,170,3,129,2.5,-2,,-25,4
02300543000C,CLARK,-87.997518,39.176805,589,Oil and Gas Test,Electric Log,210,2.5,174,3.5,133,2.5,-2,,-32,4
02300551000C,CLARK,-87.995229,39.17685,583,Oil and Gas Test,Electric Log,199,2,163,3,123,2.5,-17,,-48,2.5
02300565000C,CLARK,-87.764406,39.245172,594,Oil and Gas Test,Nuclear Log,10,2.5,-45,1.5,-87,2.5,-226,,,
02300611000C,CLARK,-87.892715,39.271088,591,Producer-Oil and Gas,Electric Log,,,421,3,400,3.5,284,0,246,3
02300618000C,CLARK,-87.936384,39.233657,602,Oil and Gas Test,Electric Log,421,2,383,2,349,2,240,,215,4
