IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_JTOWN,THICK_JTOWN,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY,TOP_DEKOVEN,THICK_DEKOVEN,TOP_LWRDEK,THICK_LWRDEK,TOP_DAVIS,THICK_DAVIS
00100017000C,ADAMS,-90.946914,40.159168,684,Water Well,Drillers Log,,,604,2.33,,,,,,,,
00100019000C,ADAMS,-90.939374,40.117843,703,Coal Test,Drillers Log,,,623,1.33,,,,,,,,
00100020000C,ADAMS,-91.068122,40.181728,695.7,Mine Shaft,Drillers Log,,,633.7,3,,,,,,,,
00100027000C,ADAMS,-91.046164,40.112638,693.8,Coal Test,Drillers Log,,,638.8,2.5,,,,,,,,
00102000000C,ADAMS,-90.939758,40.157163,680,Coal Test,Drillers Log,,,600,2.33,,,,,,,,
00116000000C,ADAMS,-90.947012,40.153649,683,Coal Test,Drillers Log,,,603,2.5,,,,,,,,
001163B0001F,ADAMS,-90.99959,39.881659,673,Outcrop,Measured section,,,628.2,1.5,,,,,,,,
001163B0002F,ADAMS,-90.960967,39.878434,622,Outcrop,Measured section,,,621.8,1.42,,,,,,,,
001163B0003F,ADAMS,-90.931095,39.877412,650,Outcrop,Measured section,,,624.6,1.46,,,,,,,,
001163B0004F,ADAMS,-90.934687,39.880137,620,Outcrop,Measured section,,,601.9,1.33,,,,,,,,
00122545000C,ADAMS,-90.9136,40.097881,711,Coal Test,Drillers Log,,,593.5,2.25,,,,,,,,
00122547000C,ADAMS,-90.926654,40.185639,670,Coal Test,Drillers Log,,,620,1.5,,,,,,,,
00122548000C,ADAMS,-90.94379,40.185655,671,Coal Test,Drillers Log,,,624,2.17,,,,,,,,
00122549000C,ADAMS,-90.959724,40.191686,675,Coal Test,Drillers Log,,,621,2.17,,,,,,,,
00122551000C,ADAMS,-90.969134,40.186163,688,Coal Test,Drillers Log,,,613.5,2.5,,,,,,,,
00122553000C,ADAMS,-90.974168,40.171357,686,Coal Test,Drillers Log,,,602,2.25,,,,,,,,
00122554000C,ADAMS,-90.944158,40.176691,687,Coal Test,Drillers Log,,,601,0.17,,,,,,,,
00122555000C,ADAMS,-90.94484,40.163761,688,Coal Test,Drillers Log,,,609,2.17,,,,,,,,
00122559000C,ADAMS,-90.941727,40.148721,673,Coal Test,Drillers Log,,,598.5,2.17,,,,,,,,
00122560000C,ADAMS,-90.912931,40.137427,680,Coal Test,Drillers Log,,,601.5,2.42,,,,,,,,
00122562000C,ADAMS,-90.913383,40.119131,691,Coal Test,Drillers Log,,,602.5,2.17,,,,,,,,
00122564000C,ADAMS,-90.932575,40.104821,707,Coal Test,Drillers Log,,,592,1.67,,,,,,,,
00122565000C,ADAMS,-91.046647,40.1798,696,Coal Test,Drillers Log,,,611.4,1.42,,,,,,,,
00122566000C,ADAMS,-91.084652,40.194975,691,Coal Test,Drillers Log,,,627,0.42,,,,,,,,
00122567000C,ADAMS,-91.08517,40.179939,694,Coal Test,Drillers Log,,,614.3,0.83,,,,,,,,
00122569000C,ADAMS,-91.065765,40.179844,697,Coal Test,Drillers Log,,,621.7,2.08,,,,,,,,
00169136000C,ADAMS,-90.969631,40.188563,670,Outcrop,Measured section,,,616,2.33,,,,,,,,
00183601000C,ADAMS,-90.914677,40.174259,,Strip Mine,Survey Sample Study,,,,1.77,,,,,,,,
00183602000C,ADAMS,-90.914506,40.170607,,Strip Mine,Survey Sample Study,,,,1.81,,,,,,,,
00183603000C,ADAMS,-90.918254,40.167038,,Strip Mine,Survey Sample Study,,,,2.19,,,,,,,,
00183604000C,ADAMS,-90.918246,40.167866,,Strip Mine,Survey Sample Study,,,,2.28,,,,,,,,
00183605000C,ADAMS,-90.918249,40.167314,,Strip Mine,Survey Sample Study,,,,1.81,,,,,,,,
00183620000C,ADAMS,-91.097051,40.172863,678.3,Coal Test,Drillers Log,,,613.3,2.2,,,,,,,,
00183621000C,ADAMS,-91.094698,40.172859,681.6,Coal Test,Drillers Log,,,607.6,2.2,,,,,,,,
00183623000C,ADAMS,-91.097009,40.17463,680.2,Coal Test,Drillers Log,,,605.2,2.2,,,,,,,,
00183624000C,ADAMS,-91.094655,40.174596,680.8,Coal Test,Drillers Log,,,612.8,2.4,,,,,,,,
00183626000C,ADAMS,-91.096965,40.176458,685.1,Coal Test,Drillers Log,,,609.1,2.4,,,,,,,,
00183627000C,ADAMS,-91.094521,40.180073,685,Coal Test,Drillers Log,,,604,2.2,,,,,,,,
00183628000C,ADAMS,-91.096924,40.178286,691.6,Coal Test,Drillers Log,,,605.6,2.5,,,,,,,,
00183629000C,ADAMS,-91.094566,40.178254,691.3,Coal Test,Drillers Log,,,607.3,2.2,,,,,,,,
00183632000C,ADAMS,-91.096881,40.180022,691.2,Coal Test,Drillers Log,,,603.2,2.4,,,,,,,,
00183633000C,ADAMS,-91.094526,40.179977,689.9,Coal Test,Drillers Log,,,608.9,2.5,,,,,,,,
00183637000C,ADAMS,-91.094233,40.18762,684.8,Coal Test,Drillers Log,,,620.8,1.9,,,,,,,,
00183638000C,ADAMS,-91.093101,40.188464,688,Coal Test,Drillers Log,,,620,2.2,,,,,,,,
00183639000C,ADAMS,-91.093121,40.187608,688.8,Coal Test,Drillers Log,,,616.8,2.3,,,,,,,,
00183640000C,ADAMS,-91.094217,40.188476,686.7,Coal Test,Drillers Log,,,617.7,2,,,,,,,,
00183642000C,ADAMS,-91.090711,40.188435,684,Coal Test,Drillers Log,,,608.5,2.4,,,,,,,,
00183643000C,ADAMS,-91.090727,40.187582,685.3,Coal Test,Drillers Log,,,613.3,2.2,,,,,,,,
00183645000C,ADAMS,-91.089615,40.187569,687.4,Coal Test,Drillers Log,,,607.4,2.4,,,,,,,,
00183654000C,ADAMS,-91.091874,40.190379,680.6,Coal Test,Drillers Log,,,610.6,2.2,,,,,,,,
00183657000C,ADAMS,-91.094075,40.195003,670.6,Coal Test,Drillers Log,,,608.6,2.3,,,,,,,,
00183658000C,ADAMS,-91.093042,40.191246,685.1,Coal Test,Drillers Log,,,608.1,2.5,,,,,,,,
00183659000C,ADAMS,-91.091853,40.191345,676.7,Coal Test,Drillers Log,,,615.7,2.5,,,,,,,,
00183660000C,ADAMS,-91.090659,40.191223,681.5,Coal Test,Drillers Log,,,620.5,2.5,,,,,,,,
00183661000C,ADAMS,-91.089542,40.191321,686.3,Coal Test,Drillers Log,,,621.3,2.4,,,,,,,,
00183662000C,ADAMS,-91.094114,40.193239,685.3,Coal Test,Drillers Log,,,617.8,2,,,,,,,,
00183663000C,ADAMS,-91.091813,40.193217,685.6,Coal Test,Drillers Log,,,618.6,2.5,,,,,,,,
00183664000C,ADAMS,-91.089506,40.193198,685.3,Coal Test,Drillers Log,,,619.3,2.5,,,,,,,,
00183667000C,ADAMS,-91.094078,40.194975,680.6,Coal Test,Drillers Log,,,622.1,2.2,,,,,,,,
00183668000C,ADAMS,-91.091453,40.194925,680.5,Coal Test,Drillers Log,,,622.5,2.5,,,,,,,,
00183669000C,ADAMS,-91.089474,40.194935,684.7,Coal Test,Drillers Log,,,622.7,2.2,,,,,,,,
00183672000C,ADAMS,-91.084992,40.173552,691.6,Coal Test,Drillers Log,,,610.6,2,,,,,,,,
00183676000C,ADAMS,-91.08497,40.174472,686.1,Coal Test,Drillers Log,,,610.1,2.5,,,,,,,,
00183677000C,ADAMS,-91.082667,40.174458,684.2,Coal Test,Drillers Log,,,609.2,2.5,,,,,,,,
00183678000C,ADAMS,-91.08141,40.175361,693.9,Coal Test,Drillers Log,,,616.9,2.5,,,,,,,,
00183680000C,ADAMS,-91.082644,40.175369,686.3,Coal Test,Drillers Log,,,612.3,2,,,,,,,,
00183682000C,ADAMS,-91.080294,40.175357,696.1,Coal Test,Drillers Log,,,614.1,2.7,,,,,,,,
00183683000C,ADAMS,-91.084867,40.176292,692.8,Coal Test,Drillers Log,,,609.8,2.5,,,,,,,,
00183684000C,ADAMS,-91.082622,40.176278,687.9,Coal Test,Drillers Log,,,611.9,2.5,,,,,,,,
00183685000C,ADAMS,-91.080273,40.176323,694.9,Coal Test,Drillers Log,,,613.9,2.5,,,,,,,,
00183686000C,ADAMS,-91.084823,40.17812,687.2,Coal Test,Drillers Log,,,614.2,2.5,,,,,,,,
00183687000C,ADAMS,-91.084807,40.179483,693.1,Coal Test,Drillers Log,,,616.1,1,,,,,,,,
00183688000C,ADAMS,-91.082573,40.178108,694.3,Coal Test,Drillers Log,,,616.3,2.5,,,,,,,,
00183689000C,ADAMS,-91.080231,40.178095,691.8,Coal Test,Drillers Log,,,615.8,3,,,,,,,,
00183690000C,ADAMS,-91.082137,40.179817,692.2,Coal Test,Drillers Log,,,619.7,2.5,,,,,,,,
00183691000C,ADAMS,-91.080172,40.179807,693.7,Coal Test,Drillers Log,,,617.7,2.5,,,,,,,,
00183694000C,ADAMS,-91.036761,40.194429,693,Coal Test,Drillers Log,,,598,0.5,,,,,,,,
00183695000C,ADAMS,-91.03207,40.194355,689.6,Coal Test,Drillers Log,,,612.6,1.8,,,,,,,,
00183696000C,ADAMS,-91.029697,40.194336,676.7,Coal Test,Drillers Log,,,625.2,0.8,,,,,,,,
00183697000C,ADAMS,-91.027432,40.194238,683,Coal Test,Drillers Log,,,616,1.9,,,,,,,,
00183703000C,ADAMS,-90.973907,40.179071,663.8,Coal Test,Drillers Log,,,596.8,1.5,,,,,,,,
00183704000C,ADAMS,-90.971547,40.18624,681.6,Coal Test,Drillers Log,,,616.6,2.3,,,,,,,,
00183705000C,ADAMS,-90.971549,40.182611,682.8,Coal Test,Drillers Log,,,611.8,2.2,,,,,,,,
00183707000C,ADAMS,-90.971589,40.18075,667.3,Coal Test,Drillers Log,,,619.3,1.9,,,,,,,,
00183708000C,ADAMS,-90.97385,40.182654,654.5,Coal Test,Drillers Log,,,616.5,2.1,,,,,,,,
00183709000C,ADAMS,-90.971517,40.184171,675.8,Coal Test,Drillers Log,,,608.8,2,,,,,,,,
00183711000C,ADAMS,-90.973828,40.184518,660.2,Coal Test,Drillers Log,,,620.7,2.2,,,,,,,,
00183715000C,ADAMS,-90.973775,40.186296,682,Coal Test,Drillers Log,,,613,2.2,,,,,,,,
00183716000C,ADAMS,-90.971877,40.179033,645.5,Coal Test,Drillers Log,,,613.5,2.4,,,,,,,,
00183717000C,ADAMS,-90.921821,40.163427,680,Coal Test,Drillers Log,,,608,2,,,,,,,,
00183719000C,ADAMS,-90.928887,40.168911,680.5,Coal Test,Drillers Log,,,603.3,1.8,,,,,,,,
00183721000C,ADAMS,-90.928874,40.170727,688.7,Coal Test,Drillers Log,,,547.2,0.5,,,,,,,,
00183723000C,ADAMS,-90.926583,40.170761,683.3,Coal Test,Drillers Log,,,602.1,1.3,,,,,,,,
00183724000C,ADAMS,-90.924154,40.170724,674.2,Coal Test,Drillers Log,,,592.5,2,,,,,,,,
00183726000C,ADAMS,-90.921899,40.170753,674,Coal Test,Drillers Log,,,593.9,1.8,,,,,,,,
